Gene_ID	Plastochron3_Rep1	Plastochron3_Rep2	Plastochron3_Rep3	Plastochron4_Rep1	Plastochron4_Rep2	Plastochron4_Rep3	Plastochron5_Rep1	Plastochron5_Rep2	Plastochron5_Rep3
LOC_Os06g15730	0	0	0	0	0	0	3.3167502003	0	0
LOC_Os06g15700	1058.1296629481	1240.5969852901	1095.0512134777	1421.0066286815	1359.1161427723	1274.6463446431	2971.8081795124	2471.9675560943	2270.9805236516
LOC_Os06g15680	4.218056743	2.8901502278	4.8858949848	67.2147094286	18.05277609	29.9284813011	381.6418618031	157.4540091088	192.2014835127
LOC_Os06g15670	0	0	0	0	0	0	0	0	0
LOC_Os06g15620	1047.8858108581	1009.3849670648	1319.8023827805	1030.8690761283	1184.3910599017	1149.5606407438	184.0796361193	346.7377659455	45.7523548721
LOC_Os06g15610	0.6025795347	1.4450751139	0	0.7305946677	0	0	0	0	0
LOC_Os06g15600	0	0	0	0	0	0	0	0	0
LOC_Os06g15590	0	0	0	0	0	0	0	0	0
LOC_Os06g15580	0	0	0	0	0	0	0	0	0
LOC_Os06g15560	3.6154772083	2.8901502278	2.4429474924	4.3835680062	4.5131940225	3.0695878258	0	1.9479649772	4.1593049884
LOC_Os06g15550	40.9754083602	35.4043402907	38.4764230056	24.8402187019	24.5001961221	23.0219086931	31.5091269033	11.6877898633	8.3186099767
LOC_Os06g15490	0	0	0	0	0	0	0	0	0
LOC_Os06g15480	648.3755793463	580.1976582341	667.5354023041	65.7535200932	90.908622453	59.0895656457	1.7412938552	11.6877898633	2.0796524942
LOC_Os06g15440	0	0	0	0	0	0	0	0	0
LOC_Os06g15430	0	0	0	0	0	0	0	0	0
LOC_Os06g15420	4228.3005950494	4444.3285128244	4584.190969528	4816.0800494953	5342.9769806234	4952.0125598929	2263.6820117379	1688.8856352512	2183.6351188958
LOC_Os06g15410	14.461908833	14.4507511391	12.8254743352	16.0730826895	12.8948400643	13.8131452159	13.2670008014	19.4796497722	8.3186099767
LOC_Os06g15400	62.6682716097	56.3579294424	65.3488454223	4463.2028249949	2807.8514239912	4242.170375188	15029.8535328798	15698.6497514293	25432.0703514061
