Gene_ID	Roots_Control_full_fertilizer	Roots_Control_water	Roots_Ammonium_stress	Roots_Nitrate_stress	Roots_Urea_stress	Shoots_Control_full_fertilizer	Shoots_Control_water	Shoots_Ammonium_stress	Shoots_Nitrate_stress	Shoots_Urea_stress
Sobic.001G037100	16.924	26.77	19.757	21.118	21.251	18.771	16.688	12.243	12.089	14.931
Sobic.001G037150	0.774	1.222	0.484	0.351	0.619	0.429	0.452	0.474	0.481	0.692
Sobic.001G037200	1.169	1.07	3.442	2.619	3.647	0.222	0.451	0.357	0.149	0.2
Sobic.001G037300	1.336	1.784	4.24	4.14	5.943	0.208	0.599	0.473	0.714	0.352
Sobic.001G037400	3.399	2.071	1.832	1.643	3.06	5.343	3.315	5.489	5.452	6.672
Sobic.001G037500	2.664	2.875	2.408	2.43	2.187	16.654	5.306	7.846	10.291	7.828
Sobic.001G037550	0	0	0	0	0	0	0	0.03	0	0
Sobic.001G037600	0.289	0.156	0.218	0.192	0.167	0.058	0.021	0	0.036	0.015
Sobic.001G037700	0	0	0	0	0	0	0	0	0	0
Sobic.001G037800	2.052	1.507	1.021	0.862	0.77	0.646	1.21	0.792	0.811	0.774
Sobic.001G037900	5.6	7.623	8.249	8.208	7.606	24.956	31.609	32.823	29.373	29.635
Sobic.001G038000	40.417	47.099	49.206	43.35	40.664	31.359	38.794	37.008	39.623	37.993
Sobic.001G038050	0	0	0	0	0.131	0	0.128	0	0	0
Sobic.001G038100	11.453	12.945	10.842	9.911	10.258	12.827	10.827	9.701	10.453	8.956
Sobic.001G038200	44.464	41.18	43.401	43.522	42.808	26.883	31.658	26.202	24.922	24.1
Sobic.001G038300	51.997	47.09	38.165	36.084	47.933	81.747	37.868	47.295	47.748	53.818
Sobic.001G038400	2.461	2.98	1.601	1.113	1.488	0.58	0.338	0.331	0.339	0.356
Sobic.001G038450	0.045	0.03	0.117	0.146	0.169	0.211	0.344	0.229	0.203	0.261
Sobic.001G038500	0.387	0.221	0.074	0.134	0.156	1.575	0.313	0.346	0.376	0.325
Sobic.001G038601	0	0	0	0	0	0.082	0.163	0.121	0	0.103
Sobic.001G038700	1.586	2.328	1.32	1.544	1.719	0.941	0.927	0.587	0.664	0.583
Sobic.001G038800	16.525	19.203	15.33	15.361	14.969	29.263	24.549	22.856	21.268	23.753
Sobic.001G038900	1.003	0.996	0.923	0.711	0.846	0.321	0.506	0.349	0.217	0.419
Sobic.001G039000	0.071	0	0	0	0	0.017	0.017	0.038	0.016	0
Sobic.001G039100	0.616	0.275	0.378	0.176	0.21	0.194	0.213	0.128	0.172	0.113
Sobic.001G039200	2.092	3.386	2.842	2.43	2.584	0	0.097	0	0	0
Sobic.001G039300	10.402	12.461	12.88	13.749	12.066	7.416	8.456	8.575	9.995	8.428
Sobic.001G039400	203.091	142.552	213.054	236.032	266.228	166.428	137.372	174.744	170.353	181.562
Sobic.001G039500	37.573	54.946	32.013	31.45	29.15	26.168	36.083	23.021	19.002	21.045
Sobic.001G039600	10.128	12.061	8.478	8.66	8.771	11.876	11.666	8.399	8.823	9.736
Sobic.001G039700	44.268	65.447	51.125	48.244	49.332	74.117	113.87	75.716	68.407	69.975
Sobic.001G039750	0	0	0.18	0.051	0.305	0	0	0.336	0.151	0.394
Sobic.001G039800	20.202	20.082	25.122	21.823	23.263	21.273	35.186	40.976	33.375	32.592
Sobic.001G039900	11.845	10.908	14.943	14.911	13.957	27.793	53.113	33.362	29.916	27.239
Sobic.001G040000	2.029	1.844	2.598	3.036	2.55	172.04	47.834	140.645	189.896	143.232
Sobic.001G040100	370.143	463.712	464.379	440.554	414.778	264.061	201.506	218.288	211.96	178.647
Sobic.001G040200	11.031	5.983	4.41	7.114	5.002	5.911	11.757	8.845	9.071	13.749
Sobic.001G040300	39.538	38.148	40.334	42.332	40.329	27.725	35.989	26.317	26.429	24.923
Sobic.001G040400	0.806	0.993	1.208	0.939	0.642	0.027	1.223	0.184	0.158	0.325
Sobic.001G040500	113.925	161.686	123.394	111.207	97.497	107.716	200.26	142.088	144.085	136.051
Sobic.001G040600	6.306	6.84	9.626	10.55	10.014	9.096	7.527	12.964	16.312	12.068
Sobic.001G040701	0	0	0	0	0	0	0	0	0	0
Sobic.001G040800	357.322	351.194	419.988	411.575	413.278	341.583	646	569.586	549.932	488.756
Sobic.001G040900	0	0	0	0	0	0	0	0	0	0
Sobic.001G041000	20.636	13.011	18.249	18.729	19.479	13.455	16.457	18.269	17.984	14.663
Sobic.001G041100	24.622	27.553	25.745	24.814	26.569	31.805	38.051	29.084	28.414	28.961
Sobic.001G041200	12.174	11.068	16.194	14.036	12.464	10.011	12.926	11.702	12.167	9.443
Sobic.001G041300	0.064	0.034	0.075	0.032	0.093	0	0	0.028	0.018	0
Sobic.001G041400	9.762	14.266	9.413	9.99	9.471	12.763	11.47	9.146	10.516	9.977
Sobic.001G041450	0	0	0	0	0	0	0	0	0	0
Sobic.001G041500	0.644	0.521	0.511	0.462	0.541	0.584	0.678	0.63	0.565	0.722
Sobic.001G041600	1.048	0.791	1.634	2.323	2.593	0.02	0	0	0.104	0
Sobic.001G041700	0.819	1.223	1.14	1.337	1.001	3.111	1.962	2.247	2.754	2.5
Sobic.001G041800	3.573	3.187	3.467	3.945	3.361	94.971	24.614	59.408	62.046	56.569
Sobic.001G041900	9.665	11.576	8.83	7.566	7.58	3.624	3.98	3.411	2.838	3.394
Sobic.001G042000	4.052	2.848	2.966	2.771	4.757	6.553	6.739	5.497	4.377	4.942
Sobic.001G042100	0.02	0	0	0	0.066	0.022	0	0	0	0
Sobic.001G042200	69.607	68.169	76.682	80.007	72.662	52.721	53.385	51.644	55.41	50.683
Sobic.001G042301	0.58	0.562	0.381	0.583	0.3	3.7	1.038	1.609	1.154	0.786
