Gene_ID	Bundle.Sheath.Cells	Mesophyll.cells
GRMZM2G393671	124.2733391664	61.1770787983
GRMZM2G410757	124.2363200008	64.5466853417
GRMZM2G464137	123.2738216933	90.0808149258
GRMZM2G127821	117.3877743511	46.6877706619
GRMZM2G075651	112.1680719912	82.7425606758
GRMZM2G321053	105.8748138266	34.9690279055
GRMZM2G481525	103.9127980459	67.3172507218
GRMZM2G011923	102.9527676581	63.5283153641
GRMZM2G102714	102.8392422414	70.0129359565
GRMZM2G084274	102.7652039101	74.880145408
GRMZM2G012126	102.7528641635	72.6711811184
GRMZM2G067908	101.2103989518	12.4301041377
GRMZM2G162535	99.1990242588	13.9401870726
GRMZM2G021416	98.3229040292	20.0678789693
AC210013.4_FG018	95.620504935	55.7482682562
GRMZM2G014441	95.3613707753	24.9350884209
GRMZM2G008687	93.9546424797	24.1862869668
GRMZM2G369839	92.3257991901	49.5706562601
GRMZM2G080940	91.6495824551	65.0084462409
GRMZM2G374085	90.8450325631	9.2851380306
GRMZM2G082962	89.8825342556	40.2855182295
GRMZM2G113052	88.5745237105	33.8957458238
GRMZM2G170742	88.47580596	18.1958753341
GRMZM2G435627	86.8839818361	29.1283765637
GRMZM2G159142	86.772924339	29.8771780178
GRMZM2G103250	85.4772535405	54.13834513
GRMZM2G007160	85.2921577121	34.9690279055
GRMZM2G098819	84.2556210732	49.2960957244
GRMZM2G039978	82.1754965329	30.369425829
GRMZM2G115476	81.7383178074	42.494482519
GRMZM2G381129	81.433938009	52.3636856838
GRMZM2G139123	80.8449219178	39.9335815461
GRMZM2G356839	79.5912061983	6.065291778
GRMZM2G432850	79.5912061983	50.1696974233
GRMZM2G109785	79.0729378789	50.0573772052
GRMZM2G056686	78.3325545654	44.9000071903
GRMZM2G041249	78.0734204057	49.7204165509
GRMZM2G013957	76.8517879385	17.5219540255
GRMZM2G057451	76.8147687728	38.3760745216
GRMZM2G382673	75.8152512996	28.7539758367
GRMZM2G304687	75.7412129683	41.7082409922
GRMZM2G171430	74.18640801	41.8580012831
GRMZM2G047299	73.5941013592	10.5581005025
GRMZM2G126026	72.4197711601	11.4594553967
GRMZM2G034573	71.7061239099	39.2371961938
GRMZM2G047187	71.3334643112	3.5318468587
GRMZM2G440459	70.5955489397	29.3530169999
GRMZM2G081521	70.1883381172	26.2080508928
GRMZM2G067600	67.6710348514	11.4566622474
GRMZM2G097144	66.8936323723	23.3626053673
GRMZM2G132431	66.5604598812	34.5946271785
GRMZM2G174900	66.2272873902	35.9050297231
GRMZM2G457621	64.1171949468	5.5411307602
GRMZM2G467356	64.0431566154	31.6743015076
GRMZM2G068590	62.6364283198	30.2515787448
GRMZM2G447785	61.4518150183	36.0922300866
GRMZM2G341366	61.3777766869	32.7226235433
GRMZM2G098999	61.2297000242	36.3543105956
GRMZM2G366389	59.1365306259	24.1864652564
GRMZM2G116670	59.0085500838	4.8672094515
GRMZM2G014382	58.8604734211	23.8867663851
GRMZM2G121468	58.1200901076	26.8819722015
GRMZM2G038898	58.0460517763	18.9446767882
GRMZM2G069528	57.3056684628	8.6112167219
GRMZM2G048733	57.3056684628	30.1392585267
GRMZM2G086869	57.2316301315	24.8602082754
GRMZM2G008643	55.8249018359	22.763564204
GRMZM2G163905	54.9981404667	23.9741265573
GRMZM2G037152	54.4551927059	22.5014836951
GRMZM2G040300	54.0109627179	10.8576210842
GRMZM2G421883	53.7518285581	25.2346090025
GRMZM2G027331	53.1595219074	13.1789055918
GRMZM2G138103	52.4931769252	19.4313977334
GRMZM2G416388	51.7527936118	6.8889733775
GRMZM2G315199	51.6739075318	25.8106512607
GRMZM2G117984	51.6417361147	24.9350884209
GRMZM2G169329	51.5306786177	20.0678789693
GRMZM2G175995	50.8643336356	1.8720036352
GRMZM2G459291	50.5311611445	17.7465944617
GRMZM2G087651	49.9018353281	31.6368614349
GRMZM2G032107	49.8277969967	26.1107067038
GRMZM2G036927	49.4205861743	9.4348983214
GRMZM2G177518	48.6431836952	27.705653801
GRMZM2G120810	48.4951070325	28.6790956913
GRMZM2G154499	48.4951070325	29.6550335839
GRMZM2G438195	48.3840495355	17.9712348979
GRMZM2G031721	48.3223509285	25.2221289758
GRMZM2G141600	48.0508770444	6.5145726505
GRMZM2G342243	48.0508770444	16.1616313814
GRMZM2G126812	47.7917428847	14.7513886454
GRMZM2G111697	47.532608725	9.0604975944
GRMZM2G083410	46.8662637428	15.425309954
GRMZM2G079487	46.0148229323	22.5389237678
GRMZM2G074270	45.829727104	28.2298148188
GRMZM2G020098	45.4225162816	23.1379649311
AC203966.5_FG002	44.5340563054	6.7392130867
GRMZM2G157953	44.5340563054	20.2550793329
GRMZM2G067183	44.4229988084	19.9929988239
GRMZM2G173649	43.7740469555	19.586566033
AC204530.4_FG005	43.7196346606	20.7043602053
GRMZM2G038532	43.6826154949	15.9869110446
GRMZM2G103900	42.423963862	9.8841791939
GRMZM2G171111	42.2758871993	13.5158662461
GRMZM2G066636	42.1278105366	17.1101132257
GRMZM2G137120	42.0537722053	13.403546028
GRMZM2G000660	42.0167530396	24.5606876938
GRMZM2G032478	41.7822983212	11.381782102
GRMZM2G419938	41.7576188799	7.7875351224
GRMZM2G025906	41.6835805485	17.8963547525
GRMZM2G113264	41.0591906233	12.7009206661
GRMZM2G084935	40.8691589037	7.0387336683
GRMZM2G003090	40.5730055783	13.2537857372
GRMZM2G424783	40.2028139216	23.2877252219
GRMZM2G367638	39.9806989275	2.7705653801
GRMZM2G449257	38.9441622887	8.1619358495
