Gene_ID	Leaf.base	Minus.1cm	Plus.4cm	Leaf.tip
GRMZM2G083964	7.601573244	1.524737731	2.221079359	4.492274755
GRMZM2G328742	3.094401658	0.232182371	0.23754521	0.25698507
GRMZM2G038066	12.79968815	4.011849397	4.41130399	10.75633144
GRMZM2G148810	13.86040103	3.938468587	4.407468032	8.089114248
GRMZM2G322672	6.621957573	0.95680538	1.347704811	2.081666937
GRMZM2G116557	15.29047287	4.597082962	8.63668869	14.51616631
GRMZM2G065496	2.254650133	0.01725881	0.02295468	0.037249815
GRMZM2G098988	6.729469347	0.277135542	0.389075344	0.431992628
GRMZM2G173372	1.121313352	0.083466039	0.092510056	0
GRMZM2G103783	13.00408155	3.08232439	4.197182906	5.966223281
AC233853.1_FG002	11.69253366	0.094296407	0.292639077	0
GRMZM2G055413	15.15862981	8.029955557	8.143542684	10.4528263
GRMZM2G444748	21.05875821	6.083481219	9.821324163	20.60290323
GRMZM2G144172	6.3165784	1.300097765	1.805122997	2.583656411
GRMZM2G171852	13.29441913	3.112689797	4.234176781	5.55313731
GRMZM2G179069	8.099567205	3.34772568	3.565256584	7.732467517
GRMZM2G138349	26.70275385	8.264419471	12.52241688	20.92290887
GRMZM2G141031	2.477095448	0.091643727	0.121645321	0.212797757
GRMZM2G000686	9.281148449	2.559052249	3.060261613	4.021292422
GRMZM2G168002	23.57260898	8.459605556	12.88705866	15.00943426
GRMZM2G006083	6.098885354	2.052001364	2.161755864	3.025649546
GRMZM2G396846	9.336366206	1.740064906	2.01726466	2.643554984
GRMZM2G001289	18.07887183	4.160205663	5.460908239	6.408815075
GRMZM2G041127	24.83944205	7.413246962	8.070091527	10.71002573
GRMZM2G060541	4.495493598	0.88693985	1.087131895	1.764148384
GRMZM2G118063	34.28489734	4.820932777	5.209725402	5.554781414
GRMZM2G122897	34.52729916	3.372096917	4.14984023	13.76498999
GRMZM2G161435	3.151410335	0.030437448	0.050603276	0.120437833
GRMZM2G178741	17.62746119	0.715700206	1.879393184	1.990287715
GRMZM2G367886	4.059317423	0.553549378	0.581017759	0.768769848
GRMZM2G131618	6.015407957	0.341713626	0.984724597	1.966727953
GRMZM2G135849	8.132967757	0.579411659	0.88622798	2.521939191
GRMZM2G339379	1.340203412	0.118485486	0.124757855	0.127864039
GRMZM2G084296	3.275391411	0.250526001	0.296183371	0.360474716
AC199571.3_FG004	8.826319069	1.69643535	1.745150814	2.3152741
GRMZM2G056986	46.19633457	6.849101232	13.65514392	24.58244598
GRMZM2G108959	19.22844472	5.07032072	8.735579203	11.71364626
GRMZM2G125522	48.01477517	8.824606095	10.3744308	22.5231128
GRMZM2G135713	2.32555505	0.358574496	0.370932865	0
GRMZM2G152919	16.83375278	7.462713039	10.14471343	14.85774068
GRMZM2G476914	10.99508492	5.2472207	5.97733008	8.551294696
GRMZM2G073199	12.61096844	1.526907404	2.630405463	4.36266096
GRMZM2G124638	20.6095126	2.599981856	4.586713142	6.494860627
GRMZM2G140577	11.14776992	4.453134659	4.8407405	6.325341136
GRMZM2G057369	15.67068752	1.616989419	9.434137463	10.16741656
GRMZM2G092214	13.05627612	2.582440607	7.177902189	12.81170231
GRMZM2G120151	37.09056957	11.82782772	12.17785318	21.52276345
GRMZM2G334722	14.56407617	2.1055902	3.709846321	4.361685372
GRMZM2G428470	7.646949618	3.079670455	3.119061802	5.775395785
GRMZM2G481163	13.63154226	5.80296062	6.010550348	12.37678918
GRMZM2G088590	40.28767685	16.29448434	18.47069848	33.72291265
GRMZM2G139683	12.93075398	3.872853132	6.246807005	8.302175349
GRMZM2G159456	9.950660445	0.271611246	0.361250232	0.464091237
GRMZM2G335716	38.37651365	24.0413242	24.43116016	28.28864447
GRMZM2G123387	3.363479413	0.17708661	0.314039913	1.104154443
GRMZM2G071589	25.43649732	13.51925414	15.24519777	21.71821788
GRMZM2G139643	56.3233778	30.11019063	30.95943583	35.29978801
GRMZM2G039949	2.599053427	0.48240893	0.525965233	1.592928995
GRMZM2G086805	57.29279208	8.077068279	12.32139603	25.82636251
GRMZM2G145201	8.281069337	3.512351784	5.10196029	6.553534422
GRMZM2G099467	17.96465081	4.744182289	7.878956186	9.766535207
AC199782.5_FG002	138.5918893	7.974920098	8.717203599	9.30339832
