Gene_ID	PhyB-mutant_58M_6DAP_Means	PhyB-mutant_58M_7DAP_Means	PhyB-mutant_58M_8DAP_Means	Wildtype_100M_6DAP_Means	Wildtype_100M_7DAP_Means	Wildtype_100M_8DAP_Means
Sobic.003G202200	2.9293907449	3.7311453424	4.1685902333	3.2551200288	2.7615373553	3.653706901
Sobic.003G202300	5.0902157021	5.7456346946	6.1100303434	7.3616246162	7.9584517454	7.6402943576
Sobic.003G202400	5.3365727791	5.3310990671	4.1972781427	5.5498813809	7.2752211789	6.5898257205
Sobic.003G202500	0.8203570254	1.020980495	1.4312916523	0.9819768122	0.9815129123	1.3200950165
Sobic.003G202600	9.3402501435	12.1462670438	12.8159046125	9.9396661327	11.5779535159	11.6548948571
Sobic.003G202700	1.0247891543	0.9416270616	0.8272546297	0.8653960093	0.7348337908	0.9478109629
Sobic.003G202800	23.7676036138	35.583374618	39.2899784742	26.8969758951	38.0355970165	38.3267370782
Sobic.003G202900	43.5997576414	47.3945105519	46.067888667	39.7250236236	40.8489808361	40.9187764236
Sobic.003G203000	5.5438641058	8.8089217926	10.0978978612	5.3817750735	7.8257929001	8.0957279984
Sobic.003G203100	2.4072786748	1.6908309804	1.9257416405	2.0330075815	1.7610318851	1.8318069929
Sobic.003G203200	0	0	0	0	0	0
Sobic.003G203300	3.6624528471	5.7806895042	6.0638549404	3.4512674426	5.1443498763	4.9826560877
Sobic.003G203400	39.8226774582	43.5204026273	38.9751182552	36.3561844457	40.8192312612	36.5421669661
Sobic.003G203500	4.7771856999	7.9015315519	8.1942836777	8.352422466	12.1204458394	13.6381831476
Sobic.003G203600	0.0439605927	0.011816309	0	0	0.0133678629	0
Sobic.003G203700	0	0	0	0	0	0
Sobic.003G203800	9.8703985514	8.8597892261	9.6854897936	7.0733190364	5.8543368687	5.9024203372
Sobic.003G203900	0.3398579389	0.5053063447	0.3077272211	0.2146836558	0.3551187319	0.1563417366
Sobic.003G204000	0.1433345805	0.0858741978	0.2119395416	0.2899811599	0.0857864846	0.1171324718
Sobic.003G204100	2.2892234379	2.4211193732	3.4950146413	2.6688338292	2.0508730622	2.1882653992
Sobic.003G204200	6.8781978623	10.8250491942	12.0556682158	6.8150154776	7.2291760858	9.7653254594
Sobic.003G204300	0	0	0	0	0	0
Sobic.003G204400	0	0	0	0	0	0
Sobic.003G204500	0	0	0	0	0	0
Sobic.003G204600	0	0	0	0	0	0
Sobic.003G204700	0	0	0	0	0	0
Sobic.003G204800	0	0	0	0	0	0
Sobic.003G204900	0.0372878246	0	0	0	0	0
Sobic.003G205000	0	0	0	0	0.0365191684	0
Sobic.003G205100	17.5146873399	15.3031717883	17.6322407904	12.4342276366	12.652532253	13.2815664045
Sobic.003G205200	12.1951344748	12.9440797709	15.2596352664	13.1768935023	14.5769575485	15.0652365911
Sobic.003G205300	8.6778263067	13.9517769976	13.1435660964	9.4053934991	13.4553053813	13.5135330753
Sobic.003G205400	35.0424115621	21.5788996474	16.4914569231	33.8106537818	27.0930050948	24.5442026216
Sobic.003G205500	12.3148899375	19.9281265745	21.5802100931	10.5713622226	14.5598752926	16.9606134927
Sobic.003G205600	1.5257112595	0.1079086283	0.1148737472	0.1168495918	0.0098272791	0
Sobic.003G205700	0	0.015586002	0.0159619768	0	0	0.0918796241
Sobic.003G205800	15.6668266558	19.2349474107	22.8174818762	12.8716195306	18.1701303979	18.4906563787
Sobic.003G205900	0.4344260491	0.4098462969	0.3693504532	0.2539489272	0.2069880042	0.1166498036
Sobic.003G206000	0.0167086524	0	0	0.0458386914	0.0189002713	0
Sobic.003G206100	0	0	0	0	0.0228519646	0
Sobic.003G206200	0	0	0	0	0	0
Sobic.003G206300	0	0.0226257761	0	0	0	0
Sobic.003G206400	0.043110526	0	0	0	0	0
Sobic.003G206500	0	0	0	0	0	0
Sobic.003G206600	35.6926266585	34.7177871882	33.8121427117	34.6196145164	32.0284892993	31.3336088286
Sobic.003G206700	0.0212292987	0.0445394811	0.02114725	0	0	0.0192541801
Sobic.003G206800	10.2856736752	17.1892147909	19.4383930529	8.1606846717	12.0100365329	12.7266747802
Sobic.003G206900	0.1412740167	0.0339369933	0.0341776666	0	0.0156171114	0
Sobic.003G207000	1.3598951425	2.3035794932	2.1768405346	1.9554170576	2.8010881047	3.6308866675
Sobic.003G207100	0.0159829777	0	0.015037761	0.0198334521	0	0.0210131321
Sobic.003G207200	2.436374838	1.6070650431	1.3933461379	2.9530265255	2.176579364	2.360362751
Sobic.003G207300	2.3303134052	2.3124471635	2.6960749939	2.360313128	2.2222912592	2.7393250019
Sobic.003G207400	0.6919572565	0.988173322	1.0536672824	0.4915329344	0.9365905185	1.0443580398
Sobic.003G207500	19.4824269255	26.0939784366	30.4341179774	22.8266978549	26.1429401082	27.0902245171
Sobic.003G207600	0	0	0	0	0	0
